;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22;Aug-22;Sep-22;Oct-22;Nov-22;Dec-22;Jan-23;Feb-23;Mar-23;Apr-23;May-23;Jun-23;Jul-23;Aug-23;Sep-23;Oct-23;Nov-23;Dec-23;Jan-24;Feb-24;Mar-24;Apr-24;May-24;Jun-24;Jul-24;Aug-24;Sep-24;Oct-24;Nov-24;Dec-24
KALIMANTAN TIMUR;300255;249201;319869;305980;479349;438017;558981;498032;481715;510575;500738;623755;627281;534247;537769;538367;638298;652189;667007;590147;565448;554890;554394;639164;1088373;1003183;965479;1403880;1048385;979955;1043582;1136774;1121456;970599;968906;1365319
KALIMANTAN UTARA;24693;21363;25803;26923;29297;28222;29553;26374;26849;28166;28897;38485;34378;30331;34198;33125;44189;50464;52473;46074;39495;46246;44703;42967;102053;92886;91773;120433;98832;83746;96470;85395;102213;90331;89014;123539
SULAWESI UTARA;327714;258312;401034;422015;577681;447411;479948;380404;390090;382225;337285;405012;423631;345789;385265;502059;493140;499020;517877;429717;436362;424171;395571;472024;700788;635690;637119;792623;684195;677148;694095;662161;691593;678649;669308;841386
SULAWESI TENGAH;170253;148593;535479;632773;742532;457418;509814;440757;360916;378522;379382;449289;524473;455120;490007;493230;502333;384099;389170;255693;216836;228909;246970;470284;915033;798449;766676;1046335;786488;766621;757319;581131;612858;607762;608275;970022
SULAWESI SELATAN;903014;794867;3288187;3558655;4281783;2546722;2846773;2429501;2237133;2340120;2331754;2530815;3227193;2773688;3112140;3006666;2954618;2234111;2396624;1497041;1209417;1217909;1276014;2805419;3285197;2955610;2807427;3383023;2999185;3035617;2909773;2491954;2635931;2595745;2558976;3780868
SULAWESI TENGGARA;240598;209500;1568582;1861497;2067525;1196304;1298650;958130;787035;826912;841149;898923;1013785;926595;1008280;1010043;1005219;727674;732341;488369;398657;380802;389223;915319;1231885;1164661;1068913;1458602;1102473;1140160;1055333;943185;949123;926530;919718;1094023
GORONTALO;119886;99569;149064;132243;192939;135984;159374;131920;123485;118272;111767;145484;170291;137029;154581;173030;177840;174930;178234;152346;158466;156509;152734;174422;310532;291515;291077;383857;301067;298131;272966;265383;293341;271077;262930;374086
SULAWESI BARAT;84410;76541;321429;372456;429632;271612;312908;252345;217079;213167;217993;251597;276510;241176;261907;249687;258174;194324;218326;154818;113349;113616;120053;243038;406291;370131;364265;471339;387084;380885;385129;296379;290015;282446;272932;428584
MALUKU;44434;37554;50342;50235;53675;51832;48193;44903;51623;51253;43406;68865;58357;45813;54618;54920;66055;75867;78823;71629;65301;76970;76433;66712;202604;174109;181377;215433;165744;133587;141450;129515;143601;142725;131314;290211
MALUKU UTARA;53558;48723;91544;100055;113337;99642;110574;99121;98526;101621;100826;128873;108712;93383;110557;111844;126050;140606;144076;124338;125126;132547;125113;125071;213677;191255;187592;243305;188336;162472;172857;158564;198367;200372;196870;296795
PAPUA BARAT;40172;33495;37967;35957;39045;40450;41271;37933;35482;37102;35611;59326;47912;34344;36662;34031;47625;57571;61013;52506;44679;53510;54009;51083;63833;45628;48588;57697;45535;33348;41018;33124;35702;35789;34511;75478
PAPUA BARAT DAYA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94110;79853;78934;88878;75900;63650;69125;57552;72966;74810;75414;139471
PAPUA;80163;68008;86884;82002;88488;91248;93086;81208;80230;85552;84145;131877;108995;85636;92736;87401;113058;135753;139729;125694;113056;129893;134785;119193;148142;122325;121433;129388;109262;92173;99729;86367;93375;89653;85657;217194
PAPUA SELATAN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29095;21381;21397;24634;20191;13809;16595;12868;12772;12000;12129;28108
PAPUA TENGAH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65881;50891;53025;56119;48206;32264;43680;36162;45070;42482;43703;85629
PAPUA PEGUNUNGAN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41242;40052;36071;33908;31517;25128;28190;27036;43481;43818;43983;86864
